id,name,stateCode,layer,subtype,lat,lng,website,description,reviewNotes
pending-mi-001,Au Train Lake Campground,MI,federal,rustic,46.3933107,-86.836261,https://www.fs.usda.gov/r09/hiawatha/recreation/au-train-lake-campground,Missing from current MI file; official Hiawatha page lists campground and coordinates.,Seeded from official forest-service source comparison. Verify placement and promote when satisfied.
pending-mi-002,Bay View Campground,MI,federal,modern,46.4495278,-84.7806735,https://www.fs.usda.gov/r09/hiawatha/recreation/bay-view-campground,Missing from current MI file; official Hiawatha page lists 25 campsites and coordinates.,Seeded from official forest-service source comparison. Verify placement and promote when satisfied.
pending-mi-003,Camp 7 Lake Campground,MI,federal,modern,46.0592,-86.5488,https://www.fs.usda.gov/r09/hiawatha/recreation/camp-7-lake-campground,Missing from current MI file; official Hiawatha page lists campground and coordinates.,Seeded from official forest-service source comparison. Verify placement and promote when satisfied.
pending-mi-004,Channel Marker Campsite on Grand Island,MI,federal,rustic,46.453782,-86.681466,https://www.fs.usda.gov/r09/hiawatha/recreation/channel-marker-campsite-grand-island,Missing from current MI file; hike/bike/boat-in Grand Island campsite.,Seeded from official forest-service source comparison. Verify placement and promote when satisfied.
pending-mi-005,Chicago Lake Campsites,MI,federal,rustic,46.03991694,-86.61096417,https://www.fs.usda.gov/r09/hiawatha/recreation/chicago-lake-campsites,Missing from current MI file; primitive reservable Hiawatha campsites.,Seeded from official forest-service source comparison. Verify placement and promote when satisfied.
pending-mi-006,Clear Lake Campsite,MI,federal,rustic,46.244858,-86.41381,https://www.fs.usda.gov/r09/hiawatha/recreation/clear-lake-campsite,Missing from current MI file; no-fee reservation campsite at Clear Lake access site.,Seeded from official forest-service source comparison. Verify placement and promote when satisfied.
pending-mi-007,Flowing Well Campground,MI,federal,rustic,45.9370063,-86.7072816,https://www.fs.usda.gov/r09/hiawatha/recreation/flowing-well-campground,Missing from current MI file; official Hiawatha page lists campground and coordinates.,Seeded from official forest-service source comparison. Verify placement and promote when satisfied.
pending-mi-008,Indian River Campground,MI,federal,rustic,46.15436889,-86.40376611,https://www.fs.usda.gov/r09/hiawatha/recreation/indian-river-campground,Missing from current MI file; official Hiawatha page lists campground and coordinates.,Seeded from official forest-service source comparison. Verify placement and promote when satisfied.
pending-mi-009,Little Dune 2 Campsite on Grand Island,MI,federal,rustic,46.477564,-86.628804,https://www.fs.usda.gov/r09/hiawatha/recreation/little-dune-2-campsite-grand-island,Missing from current MI file; Grand Island campsite with explicit coordinates.,Seeded from official forest-service source comparison. Verify placement and promote when satisfied.
pending-mi-010,Soldier Lake Campground,MI,federal,modern,46.351835,-84.867698,https://www.fs.usda.gov/r09/hiawatha/recreation/soldier-lake-campground,Missing from current MI file; official Hiawatha page lists campground and coordinates.,Seeded from official forest-service source comparison. Verify placement and promote when satisfied.
pending-mi-011,Three Lakes Campground,MI,federal,rustic,46.320015,-84.981713,https://www.fs.usda.gov/r09/hiawatha/recreation/three-lakes-campground,Missing from current MI file; official Hiawatha page lists campground and coordinates.,Seeded from official forest-service source comparison. Verify placement and promote when satisfied.
pending-mi-012,Hardwood Campsite on Grand Island,MI,federal,rustic,46.4948975,-86.68277334,https://www.fs.usda.gov/r09/hiawatha/recreation/hardwood-campsite-grand-island,Missing from current MI file; Grand Island hike/bike/boat-in campsite.,Seeded from official forest-service source comparison. Verify placement and promote when satisfied.
pending-mi-013,Au Sable Loop Campground and Day Use Area,MI,federal,modern,44.65111111,-84.09944444,https://www.fs.usda.gov/r09/huron-manistee/recreation/au-sable-loop-campground-and-day-use-area,Official Huron-Manistee page lists coordinates and fee campground details.,Seeded from official forest-service source comparison. Verify placement and promote when satisfied.
pending-mi-014,Au Sable River Backcountry Campsites,MI,federal,rustic,44.43444444,-83.62222222,https://www.fs.usda.gov/r09/huron-manistee/recreation/au-sable-river-backcountry-campsites,Official Huron-Manistee page describes 102 primitive designated river campsites and gives anchor coordinates.,Seeded from official forest-service source comparison. Verify placement and promote when satisfied.
pending-mi-015,Indian Lake Campground,MI,federal,rustic,43.6718106,-85.82236579,https://www.fs.usda.gov/r09/huron-manistee/recreation/indian-lake-campground,Official Huron-Manistee page lists coordinates and rustic campground information.,Seeded from official forest-service source comparison. Verify placement and promote when satisfied.
pending-mi-016,Jewell Lake Campground,MI,federal,rustic,44.67777778,-83.59722222,https://www.fs.usda.gov/r09/huron-manistee/recreation/jewell-lake-campground,Official Huron-Manistee page lists coordinates and campground information.,Seeded from official forest-service source comparison. Verify placement and promote when satisfied.
pending-mi-017,Monument Campground,MI,federal,rustic,44.43444444,-83.62027778,https://www.fs.usda.gov/r09/huron-manistee/recreation/monument-campground,Official Huron-Manistee page lists coordinates and campground information.,Seeded from official forest-service source comparison. Verify placement and promote when satisfied.
pending-mi-018,Round Lake Campground and Day Use Area,MI,federal,rustic,44.34083333,-83.66388889,https://www.fs.usda.gov/r09/huron-manistee/recreation/round-lake-campground-and-day-use-area,Official Huron-Manistee page lists coordinates and campground/day-use information.,Seeded from official forest-service source comparison. Verify placement and promote when satisfied.
pending-mi-019,Shelley Lake Campground,MI,federal,rustic,43.712811,-85.814014,https://www.fs.usda.gov/r09/huron-manistee/recreation/shelley-lake-campground,Official Huron-Manistee page lists coordinates and campground information.,Seeded from official forest-service source comparison. Verify placement and promote when satisfied.
